<tbl>
<tt> Code-Angaben der ZDB
<dt> 0600.tab
<tag> 0600
<row>Aggregatordatenbank QQ ag QQ
<row>Allianz-Lizenz QQ al QQ
<row>DFG-geförderte Allianz-Lizenz QQ ad QQ
<row>Digitalisierungsmaster QQ dm QQ
<row>entsäuerter, nicht alterungsbeständiger Bestand QQ es QQ
<row>früher Zeitschrift oder zeitschriftenartige Reihe QQ fp QQ
<row>zeitungsähnliche Periodika oder früher Zeitung QQ fn QQ
<row>früher Schriftenreihe QQ fr QQ
<row>nicht säurefreies Papier QQ ks QQ
<row>Karten QQ kt QQ
<row>Langzeitarchivierung elektronischer Ressourcen QQ la QQ
<row>layoutgetreue Digitalisierung QQ ld QQ
<row>Mikroformmaster QQ mm QQ
<row>Musiktonträger QQ mt QQ
<row>mehrbändiges Werk QQ mw QQ
<row>Nationalkonsortium QQ nk QQ
<row>Nationallizenz QQ nl QQ
<row>Noten QQ nt QQ
<row>Parlamentaria QQ pa QQ
<row>Pay-per-use-Datenbank QQ pu QQ
<row>Restitutionsbestand vorhanden QQ rs QQ
<row>säurefreies und alterungsbeständiges Papier QQ sf QQ
<row>sekundäre Mikroform QQ sm QQ
<row>Software QQ sw QQ
<row>Tonträger QQ tt QQ
<row>Videopublikation QQ vi QQ
<row>Weblog QQ wl QQ
<row>Zeitung QQ zt QQ
<row>QQQQ
<row>Erscheinen eingestellt (nur DNB) QQ ee QQ
<row>merged QQ mg QQ
<row>new QQ nw QQ
<row>Reihe A (nur DNB) QQ ra QQ
<row>Reihe B (nur DNB) QQ rb QQ
<row>Reihe C (nur DNB) QQ rc QQ
<row>Reihe G, Teil 1 (nur DNB) QQ rg QQ
<row>Reihe G, Teil 2 (nur DNB) QQ ru QQ
<row>Verfilmte Tageszeitung (nur DNB) QQ vt QQ
</tbl>
